                                                 Nearest Neighbour Results                                                 
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% | 20.31% (0.94%) * | 18.00% (1.33%) * | 11.14% (0.70%) * |  9.11% (0.37%) * |  7.44% (0.44%) *
audiology       |     74.77% | 60.17% (2.17%) * | 42.00% (2.56%) * | 31.85% (2.13%) * | 29.62% (1.78%) * | 26.47% (1.81%) *
autos           |     67.35% | 64.50% (1.50%) * | 61.40% (2.21%) * | 65.96% (2.02%)   | 52.92% (2.39%) * | 57.37% (0.95%) *
credit-a        |     44.49% | 39.98% (1.05%) * | 41.35% (0.99%) * | 32.04% (1.50%) * | 34.63% (0.79%) * | 34.71% (0.73%) *
hypothyroid     |      7.71% |  8.27% (0.52%) * |  7.33% (0.18%) * |  4.74% (0.14%) * |  5.01% (0.13%) * |  4.79% (0.10%) *
letter          |     96.26% | 16.86% (0.35%) * |  9.61% (0.20%) * |  6.05% (0.08%) * |  4.71% (0.06%) * |  3.93% (0.07%) *
microarray      |     50.20% | 59.47% (2.55%) * | 49.58% (2.36%)   | 42.45% (0.83%) * | 50.71% (0.95%)   | 50.88% (0.60%)  
vote            |     38.63% |  6.45% (1.01%) * | 10.42% (1.16%) * |  8.26% (0.55%) * |  7.12% (0.19%) * |  7.91% (0.39%) *

                                                   Decision Tree Results                                                   
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% |  9.00% (1.78%) * |  3.57% (0.76%) * |  1.43% (0.41%) * |  1.32% (0.30%) * |  0.71% (0.28%) *
audiology       |     74.77% | 63.33% (4.15%) * | 46.70% (4.86%) * | 30.55% (2.92%) * | 21.86% (2.68%) * | 23.05% (1.99%) *
autos           |     67.35% | 69.00% (9.43%)   | 46.63% (5.55%) * | 34.58% (2.75%) * | 29.35% (3.05%) * | 21.60% (3.37%) *
credit-a        |     44.49% | 19.64% (2.86%) * | 12.61% (1.33%) * | 20.20% (1.62%) * | 19.52% (1.06%) * | 19.01% (1.08%) *
hypothyroid     |      7.71% |  2.95% (0.62%) * |  1.57% (0.22%) * |  0.65% (0.06%) * |  0.77% (0.05%) * |  0.63% (0.04%) *
letter          |     96.26% | 28.91% (0.63%) * | 21.62% (0.49%) * | 16.36% (0.28%) * | 13.31% (0.12%) * | 11.81% (0.17%) *
microarray      |     50.20% | 51.57% (4.17%)   | 52.13% (3.94%)   | 51.68% (1.62%) * | 46.50% (1.80%) * | 48.96% (0.86%) *
vote            |     38.63% | 14.45% (3.42%) * |  5.18% (1.33%) * |  7.05% (1.17%) * |  3.19% (0.55%) * |  5.70% (0.61%) *

